timestamp,temperature,humidity
2025-08-05T08:00:00+00:00,23.97,30
2025-08-05T07:00:00+00:00,18.62,52
2025-08-05T06:00:00+00:00,16.62,55
2025-08-05T05:00:00+00:00,14.76,59
2025-08-05T04:00:00+00:00,14.76,59
2025-08-05T03:00:00+00:00,14.76,59
2025-08-05T02:00:00+00:00,13.74,55
2025-08-05T01:00:00+00:00,15.87,55
2025-08-05T00:00:00+00:00,14.49,53
2025-08-04T23:00:00+00:00,14.99,52
2025-08-04T22:00:00+00:00,19.62,40
2025-08-04T21:00:00+00:00,16.03,49
2025-08-04T20:00:00+00:00,21.62,35
2025-08-04T19:00:00+00:00,20.87,35
2025-08-04T18:00:00+00:00,23.62,31
2025-08-04T17:00:00+00:00,23.62,29
2025-08-04T16:00:00+00:00,20.8,38
2025-08-04T15:00:00+00:00,24.77,29
2025-08-04T14:00:00+00:00,24.76,27
2025-08-04T13:00:00+00:00,25.87,26
2025-08-04T12:00:00+00:00,26.62,25
2025-08-04T11:00:00+00:00,24.2,31
2025-08-04T10:00:00+00:00,23.09,33
2025-08-04T09:00:00+00:00,23.99,29
2025-08-05T09:00:00+00:00,22.62,33
2025-08-05T10:00:00+00:00,23.62,33
2025-08-04T08:00:00+00:00,20.87,35
2025-08-04T07:00:00+00:00,19.76,43
2025-08-04T06:00:00+00:00,19.06,42
2025-08-04T05:00:00+00:00,14.76,63
2025-08-04T04:00:00+00:00,13.52,55
2025-08-04T03:00:00+00:00,13.85,53
2025-08-04T02:00:00+00:00,15.87,59
2025-08-04T01:00:00+00:00,16.98,52
2025-08-04T00:00:00+00:00,18.62,48
2025-08-03T23:00:00+00:00,19.2,42
2025-08-03T22:00:00+00:00,17.8,41
2025-08-03T21:00:00+00:00,18.68,40
2025-08-03T20:00:00+00:00,20.87,37
2025-08-03T19:00:00+00:00,19.39,40
2025-08-03T18:00:00+00:00,19.13,42
2025-08-03T17:00:00+00:00,23.62,35
2025-08-03T16:00:00+00:00,21.8,39
2025-08-03T15:00:00+00:00,24.76,34
2025-08-03T14:00:00+00:00,25.87,32
2025-08-03T13:00:00+00:00,26.98,30
2025-08-03T12:00:00+00:00,25.62,31
2025-08-03T11:00:00+00:00,25.62,34
2025-08-05T12:00:00+00:00,25.87,28
2025-08-05T11:00:00+00:00,24.62,29
2025-08-05T13:00:00+00:00,25.87,28
2025-08-05T14:00:00+00:00,25.32,30
2025-08-05T15:00:00+00:00,24.21,33
2025-08-05T16:00:00+00:00,24.2,31
2025-08-05T17:00:00+00:00,24.62,29
2025-08-05T18:00:00+00:00,19.93,40
2025-08-05T19:00:00+00:00,20.87,37
2025-08-05T20:00:00+00:00,21.62,37
2025-08-05T21:00:00+00:00,21.62,35
2025-08-05T22:00:00+00:00,16.1,52
2025-08-06T01:00:00+00:00,16.98,52
2025-08-06T00:00:00+00:00,19.62,42
2025-08-05T23:00:00+00:00,19.62,45
2025-08-06T03:00:00+00:00,13.74,64
2025-08-06T02:00:00+00:00,16.98,52
2025-08-06T04:00:00+00:00,15.87,59
2025-08-06T05:00:00+00:00,15.86,58
2025-08-06T06:00:00+00:00,18.62,52
2025-08-06T07:00:00+00:00,20.87,43
2025-08-06T08:00:00+00:00,25.04,32
2025-08-06T09:00:00+00:00,26.56,28
2025-08-06T10:00:00+00:00,27.88,26
2025-08-06T12:00:00+00:00,26.98,26
2025-08-06T11:00:00+00:00,28.47,25
2025-08-06T13:00:00+00:00,26.98,26
2025-08-06T14:00:00+00:00,26.98,26
2025-08-06T15:00:00+00:00,25.87,28
2025-08-06T16:00:00+00:00,24.76,31
2025-08-06T17:00:00+00:00,25.62,29
2025-08-06T18:00:00+00:00,20.67,48
2025-08-06T19:00:00+00:00,21.98,38
2025-08-06T20:00:00+00:00,22.62,38
2025-08-06T21:00:00+00:00,17.03,60
2025-08-06T22:00:00+00:00,21.62,43
2025-08-07T01:00:00+00:00,19.62,52
2025-08-07T00:00:00+00:00,21.62,43
2025-08-06T23:00:00+00:00,21.62,43
2025-08-07T03:00:00+00:00,14.54,71
2025-08-07T02:00:00+00:00,19.62,52
2025-08-07T04:00:00+00:00,14.22,72
2025-08-07T05:00:00+00:00,18.09,55
